3.999703e+003,1.053181e+001
4.001632e+003,1.053825e+001
4.003560e+003,1.054512e+001
4.005489e+003,1.055479e+001
4.007417e+003,1.056551e+001
4.009346e+003,1.056883e+001
4.011274e+003,1.057164e+001
4.013203e+003,1.057703e+001
4.015131e+003,1.058214e+001
4.017060e+003,1.059074e+001
4.018988e+003,1.059653e+001
4.020917e+003,1.059952e+001
4.022845e+003,1.060760e+001
4.024774e+003,1.061832e+001
4.026702e+003,1.062393e+001
4.028631e+003,1.063193e+001
4.030559e+003,1.063906e+001
4.032488e+003,1.064599e+001
4.034416e+003,1.065465e+001
4.036345e+003,1.066416e+001
4.038273e+003,1.067159e+001
4.040202e+003,1.068010e+001
4.042130e+003,1.069021e+001
4.044059e+003,1.069965e+001
4.045987e+003,1.070148e+001
4.047916e+003,1.070590e+001
4.049844e+003,1.071278e+001
4.051773e+003,1.071938e+001
4.053701e+003,1.072455e+001
4.055630e+003,1.073151e+001
4.057558e+003,1.073908e+001
4.059487e+003,1.074620e+001
4.061415e+003,1.074959e+001
4.063344e+003,1.075345e+001
4.065272e+003,1.075806e+001
4.067201e+003,1.076439e+001
4.069129e+003,1.077023e+001
4.071058e+003,1.077625e+001
4.072986e+003,1.078252e+001
4.074915e+003,1.078740e+001
4.076843e+003,1.079344e+001
4.078772e+003,1.080122e+001
4.080700e+003,1.080553e+001
4.082629e+003,1.081066e+001
4.084557e+003,1.081718e+001
4.086486e+003,1.082474e+001
4.088414e+003,1.082891e+001
4.090343e+003,1.083342e+001
4.092271e+003,1.084067e+001
4.094200e+003,1.084737e+001
4.096128e+003,1.085370e+001
4.098057e+003,1.086133e+001
4.099985e+003,1.086956e+001
4.101914e+003,1.087932e+001
4.103842e+003,1.089039e+001
4.105771e+003,1.090004e+001
4.107699e+003,1.090730e+001
4.109628e+003,1.091688e+001
4.111556e+003,1.092678e+001
4.113485e+003,1.093723e+001
4.115413e+003,1.094596e+001
4.117342e+003,1.095465e+001
4.119270e+003,1.096370e+001
4.121199e+003,1.097172e+001
4.123127e+003,1.097896e+001
4.125056e+003,1.098792e+001
4.126984e+003,1.099628e+001
4.128913e+003,1.100252e+001
4.130841e+003,1.100723e+001
4.132770e+003,1.101477e+001
4.134698e+003,1.102107e+001
4.136626e+003,1.102759e+001
4.138555e+003,1.103470e+001
4.140484e+003,1.104104e+001
4.142412e+003,1.104716e+001
4.144341e+003,1.105354e+001
4.146269e+003,1.105937e+001
4.148198e+003,1.106461e+001
4.150126e+003,1.106971e+001
4.152055e+003,1.107528e+001
4.153983e+003,1.108077e+001
4.155912e+003,1.108605e+001
4.157840e+003,1.109003e+001
4.159769e+003,1.109377e+001
4.161697e+003,1.109791e+001
4.163625e+003,1.110267e+001
4.165554e+003,1.110588e+001
4.167482e+003,1.110755e+001
4.169411e+003,1.110908e+001
